IdArticulo,Lista,Motivo
106,ESPECIAL,Producto no encontrado
107,ESPECIAL,Producto no encontrado
108,ESPECIAL,Producto no encontrado
109,ESPECIAL,Producto no encontrado
110,ESPECIAL,Producto no encontrado
111,ESPECIAL,Producto no encontrado
112,ESPECIAL,Producto no encontrado
113,ESPECIAL,Producto no encontrado
114,ESPECIAL,Producto no encontrado
115,ESPECIAL,Producto no encontrado
116,ESPECIAL,Producto no encontrado
117,ESPECIAL,Producto no encontrado
118,ESPECIAL,Producto no encontrado
119,ESPECIAL,Producto no encontrado
121,ESPECIAL,Producto no encontrado
122,ESPECIAL,Producto no encontrado
123,ESPECIAL,Producto no encontrado
124,ESPECIAL,Producto no encontrado
125,ESPECIAL,Producto no encontrado
126,ESPECIAL,Producto no encontrado
127,ESPECIAL,Producto no encontrado
128,ESPECIAL,Producto no encontrado
129,ESPECIAL,Producto no encontrado
130,ESPECIAL,Producto no encontrado
131,ESPECIAL,Producto no encontrado
132,ESPECIAL,Producto no encontrado
133,ESPECIAL,Producto no encontrado
134,ESPECIAL,Producto no encontrado
135,ESPECIAL,Producto no encontrado
136,ESPECIAL,Producto no encontrado
138,ESPECIAL,Producto no encontrado
139,ESPECIAL,Producto no encontrado
140,ESPECIAL,Producto no encontrado
141,ESPECIAL,Producto no encontrado
142,ESPECIAL,Producto no encontrado
143,ESPECIAL,Producto no encontrado
144,ESPECIAL,Producto no encontrado
145,ESPECIAL,Producto no encontrado
146,ESPECIAL,Producto no encontrado
147,ESPECIAL,Producto no encontrado
148,ESPECIAL,Producto no encontrado
149,ESPECIAL,Producto no encontrado
150,ESPECIAL,Producto no encontrado
151,ESPECIAL,Producto no encontrado
152,ESPECIAL,Producto no encontrado
153,ESPECIAL,Producto no encontrado
154,ESPECIAL,Producto no encontrado
155,ESPECIAL,Producto no encontrado
156,ESPECIAL,Producto no encontrado
157,ESPECIAL,Producto no encontrado
158,ESPECIAL,Producto no encontrado
159,ESPECIAL,Producto no encontrado
160,ESPECIAL,Producto no encontrado
161,ESPECIAL,Producto no encontrado
162,ESPECIAL,Producto no encontrado
163,ESPECIAL,Producto no encontrado
164,ESPECIAL,Producto no encontrado
165,ESPECIAL,Producto no encontrado
166,ESPECIAL,Producto no encontrado
167,ESPECIAL,Producto no encontrado
168,ESPECIAL,Producto no encontrado
169,ESPECIAL,Producto no encontrado
171,ESPECIAL,Producto no encontrado
172,ESPECIAL,Producto no encontrado
173,ESPECIAL,Producto no encontrado
174,ESPECIAL,Producto no encontrado
175,ESPECIAL,Producto no encontrado
176,ESPECIAL,Producto no encontrado
177,ESPECIAL,Producto no encontrado
178,ESPECIAL,Producto no encontrado
179,ESPECIAL,Producto no encontrado
180,ESPECIAL,Producto no encontrado
181,ESPECIAL,Producto no encontrado
182,ESPECIAL,Producto no encontrado
183,ESPECIAL,Producto no encontrado
184,ESPECIAL,Producto no encontrado
185,ESPECIAL,Producto no encontrado
186,ESPECIAL,Producto no encontrado
187,ESPECIAL,Producto no encontrado
188,ESPECIAL,Producto no encontrado
189,ESPECIAL,Producto no encontrado
190,ESPECIAL,Producto no encontrado
191,ESPECIAL,Producto no encontrado
192,ESPECIAL,Producto no encontrado
193,ESPECIAL,Producto no encontrado
194,ESPECIAL,Producto no encontrado
195,ESPECIAL,Producto no encontrado
196,ESPECIAL,Producto no encontrado
197,ESPECIAL,Producto no encontrado
198,ESPECIAL,Producto no encontrado
199,ESPECIAL,Producto no encontrado
200,ESPECIAL,Producto no encontrado
201,ESPECIAL,Producto no encontrado
202,ESPECIAL,Producto no encontrado
203,ESPECIAL,Producto no encontrado
204,ESPECIAL,Producto no encontrado
205,ESPECIAL,Producto no encontrado
206,ESPECIAL,Producto no encontrado
207,ESPECIAL,Producto no encontrado
208,ESPECIAL,Producto no encontrado
209,ESPECIAL,Producto no encontrado
211,ESPECIAL,Producto no encontrado
212,ESPECIAL,Producto no encontrado
213,ESPECIAL,Producto no encontrado
214,ESPECIAL,Producto no encontrado
215,ESPECIAL,Producto no encontrado
216,ESPECIAL,Producto no encontrado
217,ESPECIAL,Producto no encontrado
218,ESPECIAL,Producto no encontrado
219,ESPECIAL,Producto no encontrado
220,ESPECIAL,Producto no encontrado
221,ESPECIAL,Producto no encontrado
222,ESPECIAL,Producto no encontrado
223,ESPECIAL,Producto no encontrado
224,ESPECIAL,Producto no encontrado
225,ESPECIAL,Producto no encontrado
226,ESPECIAL,Producto no encontrado
227,ESPECIAL,Producto no encontrado
228,ESPECIAL,Producto no encontrado
229,ESPECIAL,Producto no encontrado
230,ESPECIAL,Producto no encontrado
231,ESPECIAL,Producto no encontrado
232,ESPECIAL,Producto no encontrado
233,ESPECIAL,Producto no encontrado
234,ESPECIAL,Producto no encontrado
235,ESPECIAL,Producto no encontrado
236,ESPECIAL,Producto no encontrado
237,ESPECIAL,Producto no encontrado
238,ESPECIAL,Producto no encontrado
239,ESPECIAL,Producto no encontrado
240,ESPECIAL,Producto no encontrado
241,ESPECIAL,Producto no encontrado
242,ESPECIAL,Producto no encontrado
243,ESPECIAL,Producto no encontrado
244,ESPECIAL,Producto no encontrado
245,ESPECIAL,Producto no encontrado
246,ESPECIAL,Producto no encontrado
247,ESPECIAL,Producto no encontrado
248,ESPECIAL,Producto no encontrado
249,ESPECIAL,Producto no encontrado
250,ESPECIAL,Producto no encontrado
251,ESPECIAL,Producto no encontrado
252,ESPECIAL,Producto no encontrado
253,ESPECIAL,Producto no encontrado
254,ESPECIAL,Producto no encontrado
255,ESPECIAL,Producto no encontrado
260,ESPECIAL,Producto no encontrado
261,ESPECIAL,Producto no encontrado
262,ESPECIAL,Producto no encontrado
263,ESPECIAL,Producto no encontrado
264,ESPECIAL,Producto no encontrado
265,ESPECIAL,Producto no encontrado
266,ESPECIAL,Producto no encontrado
267,ESPECIAL,Producto no encontrado
268,ESPECIAL,Producto no encontrado
269,ESPECIAL,Producto no encontrado
270,ESPECIAL,Producto no encontrado
271,ESPECIAL,Producto no encontrado
272,ESPECIAL,Producto no encontrado
273,ESPECIAL,Producto no encontrado
274,ESPECIAL,Producto no encontrado
275,ESPECIAL,Producto no encontrado
276,ESPECIAL,Producto no encontrado
277,ESPECIAL,Producto no encontrado
278,ESPECIAL,Producto no encontrado
279,ESPECIAL,Producto no encontrado
281,ESPECIAL,Producto no encontrado
282,ESPECIAL,Producto no encontrado
283,ESPECIAL,Producto no encontrado
284,ESPECIAL,Producto no encontrado
287,ESPECIAL,Producto no encontrado
290,ESPECIAL,Producto no encontrado
291,ESPECIAL,Producto no encontrado
292,ESPECIAL,Producto no encontrado
293,ESPECIAL,Producto no encontrado
294,ESPECIAL,Producto no encontrado
295,ESPECIAL,Producto no encontrado
296,ESPECIAL,Producto no encontrado
297,ESPECIAL,Producto no encontrado
298,ESPECIAL,Producto no encontrado
299,ESPECIAL,Producto no encontrado
300,ESPECIAL,Producto no encontrado
301,ESPECIAL,Producto no encontrado
302,ESPECIAL,Producto no encontrado
303,ESPECIAL,Producto no encontrado
304,ESPECIAL,Producto no encontrado
305,ESPECIAL,Producto no encontrado
306,ESPECIAL,Producto no encontrado
307,ESPECIAL,Producto no encontrado
308,ESPECIAL,Producto no encontrado
309,ESPECIAL,Producto no encontrado
310,ESPECIAL,Producto no encontrado
311,ESPECIAL,Producto no encontrado
312,ESPECIAL,Producto no encontrado
313,ESPECIAL,Producto no encontrado
314,ESPECIAL,Producto no encontrado
315,ESPECIAL,Producto no encontrado
316,ESPECIAL,Producto no encontrado
317,ESPECIAL,Producto no encontrado
318,ESPECIAL,Producto no encontrado
319,ESPECIAL,Producto no encontrado
320,ESPECIAL,Producto no encontrado
321,ESPECIAL,Producto no encontrado
322,ESPECIAL,Producto no encontrado
323,ESPECIAL,Producto no encontrado
324,ESPECIAL,Producto no encontrado
325,ESPECIAL,Producto no encontrado
326,ESPECIAL,Producto no encontrado
327,ESPECIAL,Producto no encontrado
328,ESPECIAL,Producto no encontrado
329,ESPECIAL,Producto no encontrado
330,ESPECIAL,Producto no encontrado
331,ESPECIAL,Producto no encontrado
332,ESPECIAL,Producto no encontrado
333,ESPECIAL,Producto no encontrado
334,ESPECIAL,Producto no encontrado
335,ESPECIAL,Producto no encontrado
336,ESPECIAL,Producto no encontrado
337,ESPECIAL,Producto no encontrado
338,ESPECIAL,Producto no encontrado
339,ESPECIAL,Producto no encontrado
340,ESPECIAL,Producto no encontrado
341,ESPECIAL,Producto no encontrado
342,ESPECIAL,Producto no encontrado
343,ESPECIAL,Producto no encontrado
344,ESPECIAL,Producto no encontrado
345,ESPECIAL,Producto no encontrado
346,ESPECIAL,Producto no encontrado
347,ESPECIAL,Producto no encontrado
348,ESPECIAL,Producto no encontrado
349,ESPECIAL,Producto no encontrado
350,ESPECIAL,Producto no encontrado
351,ESPECIAL,Producto no encontrado
352,ESPECIAL,Producto no encontrado
354,ESPECIAL,Producto no encontrado
360,ESPECIAL,Producto no encontrado
361,ESPECIAL,Producto no encontrado
364,ESPECIAL,Producto no encontrado
365,ESPECIAL,Producto no encontrado
368,ESPECIAL,Producto no encontrado
369,ESPECIAL,Producto no encontrado
370,ESPECIAL,Producto no encontrado
371,ESPECIAL,Producto no encontrado
372,ESPECIAL,Producto no encontrado
