IdArticulo,NombreLista,Motivo
0161,Consumidor Final X,Producto no encontrado en Odoo
0163,Consumidor Final X,Producto no encontrado en Odoo
0164,Consumidor Final X,Producto no encontrado en Odoo
0166,Consumidor Final X,Producto no encontrado en Odoo
0389,Consumidor Final X,Producto no encontrado en Odoo
0417,Consumidor Final X,Producto no encontrado en Odoo
0454,Consumidor Final X,Producto no encontrado en Odoo
0471,Consumidor Final X,Producto no encontrado en Odoo
0507,Consumidor Final X,Producto no encontrado en Odoo
0570,Consumidor Final X,Producto no encontrado en Odoo
0581,Consumidor Final X,Producto no encontrado en Odoo
0582,Consumidor Final X,Producto no encontrado en Odoo
0583,Consumidor Final X,Producto no encontrado en Odoo
0585,Consumidor Final X,Producto no encontrado en Odoo
0590,Consumidor Final X,Producto no encontrado en Odoo
0591,Consumidor Final X,Producto no encontrado en Odoo
0595,Consumidor Final X,Producto no encontrado en Odoo
0654,Consumidor Final X,Producto no encontrado en Odoo
0737,Consumidor Final X,Producto no encontrado en Odoo
0798,Consumidor Final X,Producto no encontrado en Odoo
0801,Consumidor Final X,Producto no encontrado en Odoo
1001,Consumidor Final X,Producto no encontrado en Odoo
1002,Consumidor Final X,Producto no encontrado en Odoo
1010,Consumidor Final X,Producto no encontrado en Odoo
1110,Consumidor Final X,Producto no encontrado en Odoo
1132,Consumidor Final X,Producto no encontrado en Odoo
1133,Consumidor Final X,Producto no encontrado en Odoo
1134,Consumidor Final X,Producto no encontrado en Odoo
1135,Consumidor Final X,Producto no encontrado en Odoo
1160,Consumidor Final X,Producto no encontrado en Odoo
1161,Consumidor Final X,Producto no encontrado en Odoo
1203,Consumidor Final X,Producto no encontrado en Odoo
1231,Consumidor Final X,Producto no encontrado en Odoo
1261,Consumidor Final X,Producto no encontrado en Odoo
1310,Consumidor Final X,Producto no encontrado en Odoo
1320,Consumidor Final X,Producto no encontrado en Odoo
1321,Consumidor Final X,Producto no encontrado en Odoo
1322,Consumidor Final X,Producto no encontrado en Odoo
1326,Consumidor Final X,Producto no encontrado en Odoo
1330,Consumidor Final X,Producto no encontrado en Odoo
1372,Consumidor Final X,Producto no encontrado en Odoo
1373,Consumidor Final X,Producto no encontrado en Odoo
1391,Consumidor Final X,Producto no encontrado en Odoo
1392,Consumidor Final X,Producto no encontrado en Odoo
1393,Consumidor Final X,Producto no encontrado en Odoo
1429,Consumidor Final X,Producto no encontrado en Odoo
1430,Consumidor Final X,Producto no encontrado en Odoo
1431,Consumidor Final X,Producto no encontrado en Odoo
1464,Consumidor Final X,Producto no encontrado en Odoo
1471,Consumidor Final X,Producto no encontrado en Odoo
1499,Consumidor Final X,Producto no encontrado en Odoo
1501,Consumidor Final X,Producto no encontrado en Odoo
1502,Consumidor Final X,Producto no encontrado en Odoo
1503,Consumidor Final X,Producto no encontrado en Odoo
1504,Consumidor Final X,Producto no encontrado en Odoo
1505,Consumidor Final X,Producto no encontrado en Odoo
1506,Consumidor Final X,Producto no encontrado en Odoo
1513,Consumidor Final X,Producto no encontrado en Odoo
1516,Consumidor Final X,Producto no encontrado en Odoo
1517,Consumidor Final X,Producto no encontrado en Odoo
1571,Consumidor Final X,Producto no encontrado en Odoo
1572,Consumidor Final X,Producto no encontrado en Odoo
1573,Consumidor Final X,Producto no encontrado en Odoo
1574,Consumidor Final X,Producto no encontrado en Odoo
1621,Consumidor Final X,Producto no encontrado en Odoo
1701,Consumidor Final X,Producto no encontrado en Odoo
1702,Consumidor Final X,Producto no encontrado en Odoo
1751,Consumidor Final X,Producto no encontrado en Odoo
